sentiment,review_body,product_category
-1,So much right but then....too short.,Blouses
-1,"I wanted to love this top  but when i received the picture on the website is a dark charcoal almost black and the ""grey"" that you order is much  much lighter grey. in addition  this shirt is super boxy... thus why the model probably is pinning her elbows to her side to bring the top in. going back disappointed.",Blouses
-1,I just returned this top. i agree with the previous reviewer. the neckline is way too deep  i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.,Blouses
-1,This is a cute top but it runs pretty big. order a size down. the material is like a thick gauze almost  so i'd definitely wear a tank under.,Blouses
-1,The styling of this top is so cute but the fabric is thin  kind of scratchy & has  almost no give to it.  it is very uncomfortable on & is very restricting as far as  movement is concerned.   cannot recommend - back it goes!,Blouses
-1,This shirt is not near as nice as it may look the fabric is just ok it runs large i ordered a xs and the neck line was huge and gaping not worth the money even on sale,Blouses
-1,I was so excited to order this top - it looked like it was made of more sturdy  soft cotton  but sadly after receiving it today i found that to not be true. it's incredibly sheer - you'd have to wear a cami underneath  which defeated the point for me. the pleating in the front hides your bra  but you can see it from all other angles (i tried it on with an unlined nude lace bra  which can easily hide under sheer clothing). i was hoping to be able to wear it on its own without a cami and for it to,Blouses
-1,Beautifully made shirt however the sizing is way off. the sleeves and across the chest are really tight while the rest of the shirt fits fine. if you get a size larger then the shirt in the body is to large. would recommend if you have really tiny shoulders  arms and chest. such a shame since i really love the shirt.,Blouses
-1,An absolutely gorgeous  but poorly fitting blouse. the bottom part is way too billowy and inconsistent with the fitted top half. got it on sale and still returned it.,Blouses
0,I was so excited to receive this shirt. it is a beautiful color and material and very well made. i loved the lace detail and wanted to love the shirt. however  i put it on and the seem hit right at the top of my bust. it broadened my shoulders and the fabric started right at my bust so it flowed down from there making me look boxy and wide. i am a 32dd  5'3  and 115 pounds for reference. if you are more narrow and don't have a chest this would be absolutely adorable but sadly for me it had to go,Blouses
0,"This top is super cute  however the bottom hem is all frayed....couldn't really tell that from the pictures. the ""flutter"" sleeves are too big...looks funny with the fraying...runs a little large as well. loved the color! perfect with white denim!",Blouses
0,I saw this top in the box and was excited to try it on. the print is absolutely stunning and gorgeous  i could not wait. when i tried it on  it is such a loose top and a tad short. it was flowy all over. i expected it to be loose from the picture but not like this. it would work best on a very slender figure with white pants or leggings. i don't recommend it for a curvy figure  just not flattering. makes everything look big. what a waste because the print is so nice.,Blouses
0,This is a well made blouse with a pretty neckline. the print with the sleeves makes me look really wide. it's an odd look.,Blouses
0,This top is very cute  but i found it runs small in the bust  which is unusual for maeve. i will have to return it. you may want to size up  if you have a generous bust.,Blouses
0,I'd recommend getting this top- but only after understanding its limitations. it's beautiful and i bought it even after reading the other critical and accurate reviews because i so loved how it paired with the skirt. unless you size down the rigid form of the embellished straps will lie funny  and the rest of the top fits bizarrely as it is both short (it could almost expose the bottom of your stomach) and has lots of fabric so it almost flows out all around you (accentuating your stomach and ma,Blouses
0,Like the previous reviewer  the biggest problem with this shirt is how short it is. i'm 5'4 and ordered a 12  which is usually what i wear at retailer. even only being 5'4  this shirt is much shorter than i anticipated. it fits everywhere else  though. i'm obsessed with the back so i'm going to keep it and wear it. i'd say it's worth it at the sale price.,Blouses
0,"I bought this online in my usual size (petite xxs) for in-store pickup. when i tried it on  the kindest word to describe it would be ""voluminous""--it was at least 2 sizes too big on me. i looked like i had taken grandma's tablecloth and constructed a homemade blouse. the blouse comes with an attached cami  which was also way too big for me. the color is not white (as described)  but rather an ivory/cream color--definitely not the best shade for my light olive skin. i do think that it looks lovel",Blouses
0,Nice color and great work but runs little large.,Blouses
1,For once i found a peasant top that wasn't a balloon. i'm 5'1 and curvier on top and the small fit great. the blouse billowed a bit but it didn't make me look like a hot air balloon. the pattern of the blouse  a mix of various floral swatches  is very pretty. the blouse will look great with black skinny jeans and boots for fall. i can't wait to wear it!,Blouses
1,Love this! so colorful and cute! will look great with shorts this summer  and will keep me cool in the city in the summer heat. thanks retailer!,Blouses
1,"After reading the previous reviews  i ordered a size larger. i am so glad i did it! it fits perfectly! i am 5'4""/115/32dd and went with the s regular. so beautiful! i can't wait to wear it!",Blouses
1,It's a cute top  but the only complaint i have is that it is difficult for me take off. it goes on easily  but i get always have a bit of a struggle trying to take it off. my shoulders tend to get stuck so i can't pull my arms out easily. i just wish the top had an extra button or two on the back or was made with material that allowed for some stretch without fear of destroying the lacework. i didn't want to size up another size because i have a petite body shape that would've been overwhelmed b,Blouses
1,Beautifully detailed top that pairs well with dark denim. top is a bit wide  but i think that is the style. a unique and different piece to add to your wardrobe!,Blouses
1,"I saw the neutral motif in the ""there's only one left"" hanger in the store and tried it on. it's very pretty  cute and sweet. i wish the bottom flares out a bit more like a baby-doll look  but that's just my preference. i tried on size 2 and it's a bit tight in the chest area (i'm 5'2""  34b  26 waist  36 hips)  so i think size 4 would fit very well. despite the pretty flower design  in my personal opinion  i think the price does not justify a pretty basic tank top and fabric.",Blouses
1,A gorgeous and vibrant print! love the ruffles on the bottom and the detailing of the straps in the back. perfect for a beach day!,Blouses
1,"Frustrated that retailer tops have been so short lately! i'm 5'7"" and it hits at the top of my pants. makes me look a bit boxy. so disappointing because i wanted it for family photos. otherwise the design is gorgeous. having a hard time returning it but for the price point  it probably has to go back :(",Blouses
1,I've been looking for a great white blouse for awhile  and this is it! the tie waist is especially flattering for hourglass figures  but i'm sure it would add some curves to any body type. the fabric is soft  not crisp  and drapes beautifully. you definitely will be doing some ironing  though. it's a bit sheer  but i always wear nude bras and felt no need for a cami. i did buy the regular  rather than petite sizing and usually wear a 0 or 2  but had to size up to a 4 regular to avoid gaping in f,Blouses
-1,Totally bummed. the pretty print doesn't outweigh the very odd fit of this dress. makes you look really top heavy and even the print  which looks so cute online  looks muddled in person. sadly  went right back.,Dresses
-1,I loved everything about this dress. the fit  the style and the ability to wear in the fall. i wore it once  washed it in gentle/hand-wash cycle  in cold water and laid it out flat to dry- per the instructions- and it shrank at least a full size. it's going back. i am so sad  as i said earlier  i really loved this dress.,Dresses
-1,The dress is very pretty  but the sequins are dark blue! i imagined they would be silver/gold  given the photo  but the dress is essentially light pink and blue.,Dresses
